0 0.0 709.48 806.06
1 0.0 793.5 430.43
2 0.0 697.89 1282.86
3 0.0 173.06 366.16
4 0.0 739.85 1327.13
5 0.0 944.04 441.27
6 0.0 173.06 366.16
7 0.0 214.99 227.29
8 0.0 271.75 343.48
9 0.0 473.03 938.23
10 0.0 410.13 989.6
11 0.0 480.7 674.17
12 0.0 795.4 1394.6
13 0.0 214.99 227.29
14 0.0 473.41 593.12
15 0.0 676.81 521.5
16 0.0 1054.86 663.72
17 0.0 485.06 988.33
18 0.0 200.91 351.67
19 0.0 306.74 589.16
20 0.0 612.06 338.05
21 0.0 954.49 518.05
22 0.0 603.7 635.69
23 0.0 690.08 458.11
24 0.0 666.63 498.34
25 0.0 664.5 345.19
26 0.0 200.91 351.67
27 0.0 518.67 753.34
28 0.0 173.06 366.16
29 0.0 751.84 443.28
30 0.0 631.26 351.18   # Fanshawe St × Halsey St
31 0.0 781.67 878.19   # Halsey St × Jellicoe St
32 0.0 417.60 414.91   # Daldy St × Fanshawe St
33 0.0 661.29 1237.47  # Hamer St × Brigham St
34 0.0 575.33 645.94   # Pakenham St West × Mahuru
35 0.0 965.27 534.30   # Pakenham St East × Customs St West (roundabout)
36 0.0 190.75 302.49   # Telpher St × Brickfield Way
0 1.0 709.09 804.81
1 1.0 794.86 430.71
2 1.0 699.44 1284.68
3 1.0 171.52 366.96
4 1.0 738.87 1325.98
5 1.0 944.33 439.98
6 1.0 171.34 367.06
7 1.0 215.96 229.27
8 1.0 272.5 344.97
9 1.0 472.39 936.15
10 1.0 408.39 990.11
11 1.0 479.44 674.56
12 1.0 797.83 1395.27
13 1.0 215.61 228.57
14 1.0 473.0 591.74
15 1.0 676.24 519.57
16 1.0 1053.52 663.15
17 1.0 485.8 990.74
18 1.0 199.19 352.57
19 1.0 306.33 587.86
20 1.0 609.69 338.78
21 1.0 955.1 519.98
22 1.0 602.41 636.07
23 1.0 688.03 458.75
24 1.0 667.19 500.24
25 1.0 666.88 344.82
26 1.0 199.12 352.61
27 1.0 519.4 755.8
28 1.0 172.64 366.38
29 1.0 754.01 441.89
0 2.0 708.21 801.99
1 2.0 797.86 431.33
2 2.0 701.86 1287.52
3 2.0 169.95 367.78
4 2.0 736.47 1323.17
5 2.0 945.02 436.86
6 2.0 169.63 367.95
7 2.0 217.92 233.33
8 2.0 277.01 346.85
9 2.0 471.03 931.73
10 2.0 404.99 991.13
11 2.0 475.79 675.69
12 2.0 801.9 1396.06
13 2.0 217.24 231.93
14 2.0 472.09 588.76
15 2.0 675.15 515.89
16 2.0 1050.78 661.61
17 2.0 487.21 995.4
18 2.0 196.49 353.97
19 2.0 305.44 585.02
20 2.0 605.17 340.18
21 2.0 954.6 524.33
22 2.0 599.16 637.06
23 2.0 684.57 459.82
24 2.0 668.13 503.42
25 2.0 671.0 344.25
26 2.0 196.87 353.78
27 2.0 520.85 760.69
28 2.0 170.58 367.45
29 2.0 757.6 439.53
0 3.0 706.75 797.28
1 3.0 802.55 432.29
2 3.0 705.44 1291.72
3 3.0 167.42 369.09
4 3.0 732.48 1318.49
5 3.0 946.15 431.76
6 3.0 167.97 368.81
7 3.0 220.93 239.54
8 3.0 279.09 351.57
9 3.0 469.04 925.23
10 3.0 399.53 992.76
11 3.0 470.43 677.35
12 3.0 807.52 1397.0
13 3.0 219.83 237.27
14 3.0 470.41 583.36
15 3.0 673.63 510.74
16 3.0 1046.67 658.76
17 3.0 489.27 1002.18
18 3.0 194.35 355.08
19 3.0 304.02 580.52
20 3.0 598.78 342.16
21 3.0 953.29 530.15
22 3.0 594.38 638.51
23 3.0 678.75 461.64
24 3.0 669.58 508.34
25 3.0 677.56 343.81
26 3.0 195.38 354.55
27 3.0 522.71 766.95
28 3.0 168.77 368.39
29 3.0 762.68 436.17
0 4.0 704.72 790.75
1 4.0 809.08 433.63
2 4.0 710.38 1297.51
3 4.0 165.06 370.32
4 4.0 728.4 1313.7
5 4.0 947.65 425.03
6 4.0 166.02 369.83
7 4.0 223.94 245.75
8 4.0 279.01 358.56
9 4.0 466.73 917.69
10 4.0 391.93 995.02
11 4.0 462.94 679.67
12 4.0 815.64 1398.34
13 4.0 223.43 244.68
14 4.0 468.31 576.59
15 4.0 671.61 503.89
16 4.0 1041.47 653.94
17 4.0 491.18 1008.46
18 4.0 192.19 356.21
19 4.0 301.92 573.85
20 4.0 590.58 344.69
21 4.0 955.99 535.93
22 4.0 587.99 640.44
